Condition,Indicator,Rate,CI_Low,CI_High,Err_Low,Err_High,N,Hits
Baseline_Control,Green (Comply),0.58,0.49998480543102514,0.6560199554700825,0.08001519456897482,0.07601995547008256,150,87
Baseline_Control,Yellow (Escalate),0.19333333333333333,0.13811889170191843,0.2638628581771686,0.055214441631414896,0.07052952484383526,150,29
Baseline_Control,Red (Danger),0.14666666666666667,0.0988943721258812,0.2120846005608929,0.047772294540785465,0.06541793389422623,150,22
Virus_Override,Green (Comply),0.22666666666666666,0.1669817942684841,0.3000019393193978,0.05968487239818254,0.07333527265273113,150,34
Virus_Override,Yellow (Escalate),0.38666666666666666,0.31249116779192654,0.4665020875981708,0.07417549887474012,0.07983542093150414,150,58
Virus_Override,Red (Danger),0.36666666666666664,0.2937744456533283,0.44621761951149214,0.07289222101333837,0.0795509528448255,150,55
